Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,Accuracy,TPR_macro,FPR_macro,Precision_macro,AUC_macro,PR-Curve_macro,Training Time (sec),Inference Time (sec)
congressional-voting,PaloBst,5,"{'learning_rate': 0.1345256704368021, 'max_depth': 4, 'n_estimators': 78, 'subsample': 0.7273505261106861, 'distribution': 'bernoulli'}",0.613636364,0.5,0.5,0.306818182,0.5,0.75,0.0795546,0.0838946
congressional-voting,PaloBst,6,"{'learning_rate': 0.1345256704368021, 'max_depth': 4, 'n_estimators': 78, 'subsample': 0.7273505261106861, 'distribution': 'bernoulli'}",0.604651163,0.5,0.5,0.302325581,0.5,0.75,0.0971063,0.1683048
congressional-voting,PaloBst,7,"{'learning_rate': 0.1345256704368021, 'max_depth': 4, 'n_estimators': 78, 'subsample': 0.7273505261106861, 'distribution': 'bernoulli'}",0.604651163,0.5,0.5,0.302325581,0.5,0.75,0.0800985,0.1152629
congressional-voting,PaloBst,8,"{'learning_rate': 0.1345256704368021, 'max_depth': 4, 'n_estimators': 78, 'subsample': 0.7273505261106861, 'distribution': 'bernoulli'}",0.604651163,0.5,0.5,0.302325581,0.5,0.75,0.1031955,0.0881627
congressional-voting,PaloBst,9,"{'learning_rate': 0.1345256704368021, 'max_depth': 4, 'n_estimators': 78, 'subsample': 0.7273505261106861, 'distribution': 'bernoulli'}",0.627906977,0.5,0.5,0.313953488,0.5,0.75,0.0792183,0.0191278
congressional-voting,ProbabilisticRandomForest,1,"{'keep_proba': 0.04546592276734862, 'max_depth': 7, 'n_estimators_': 23}",0.590909091,0.492374728,0.507625272,0.471544715,0.566448802,0.578277858,0.2104231,0.0090511
congressional-voting,ProbabilisticRandomForest,10,"{'keep_proba': 0.026869609088372562, 'max_depth': 7, 'n_estimators_': 16}",0.651162791,0.53125,0.46875,0.821428571,0.607638889,0.695027634,0.1491914,0.0062419
congressional-voting,ProbabilisticRandomForest,2,"{'keep_proba': 0.09827036828162752, 'max_depth': 7, 'n_estimators_': 39}",0.636363636,0.540305011,0.459694989,0.650406504,0.730936819,0.750033678,0.3825148,0.0161166
congressional-voting,ProbabilisticRandomForest,3,"{'keep_proba': 0.06436099015582845, 'max_depth': 7, 'n_estimators_': 34}",0.659090909,0.624183007,0.375816993,0.635714286,0.68627451,0.680916902,0.3194507,0.0133455
congressional-voting,ProbabilisticRandomForest,4,"{'keep_proba': 0.04226088867482704, 'max_depth': 7, 'n_estimators_': 33}",0.568181818,0.473856209,0.526143791,0.425,0.586056645,0.567662891,0.3135524,0.0132761
congressional-voting,ProbabilisticRandomForest,5,"{'keep_proba': 0.09710339687031014, 'max_depth': 7, 'n_estimators_': 40}",0.545454545,0.444444444,0.555555556,0.292682927,0.48583878,0.493763023,0.3722367,0.0159886
